claim_id,participant,claim,source_id,confidence
F001,Метод Лаб,"Публичная страница услуги описывает ускорение сайтов и интернет-магазинов на 1С-Битрикс.",S001,high
F002,Метод Лаб,"На странице услуги перечислены PHP-код, SQL/MySQL, Nginx/Apache/PHP/Linux, кеширование и клиентская часть.",S001,high
F003,Метод Лаб,"На странице услуги отдельно указано поведение сайта под нагрузкой.",S001,high
F004,Метод Лаб,"Для интернет-магазинов отдельно рассматриваются каталог, фильтры, карточки, корзина и оформление заказа.",S001,high
F005,Метод Лаб,"Публичные ценовые ориентиры на странице: от 29 900 ₽ и от 69 900 ₽.",S001,high
F006,Метод Лаб,"Есть отдельная практика оптимизации MySQL, MariaDB и Percona Server.",S003,high
F007,Метод Лаб,"Есть отдельная услуга нагрузочного тестирования сайтов.",S004,high
F008,Пятый фактор,"Есть отдельная услуга ускорения интернет-магазина на 1С-Битрикс с измерениями и публичной ценой.",S006,high
F009,Пятый фактор,"Публичный кейс IdealBeds содержит измерения до и после.",S006,high
F010,ИНТЕРВОЛГА,"Технический аудит включает производительность, код и нагрузочные проверки.",S007,high
F011,Intaro,"Кейс Stolplit подтверждает оптимизацию крупного e-commerce на Битрикс на уровне компонентов, БД и серверов.",S008,high
F012,Ленвендо,"Публично подтверждено крупное нагрузочное испытание 1С-Битрикс Enterprise.",S009,high
F013,Тест-сервис,"Отдельный аудит 1С-Битрикс охватывает PHP, MySQL, TTFB и инфраструктурные факторы.",S010,high
F014,Интернет Системы,"Есть отдельное направление ускорения 1С-Битрикс и публичная коммерческая модель.",S011,high
F015,Битроид,"Услуга ускорения включает MySQL, Nginx, BitrixVM, кеширование и Redis/Memcached.",S012,high
F016,QSOFT,"Кейс Эльдорадо подтверждает крупный e-commerce-проект на 1С-Битрикс.",S013,high
F017,WebGuard.pro,"Публичная услуга делает акцент на сервере, SQL, индексах, БД и PHP.",S014,high
F018,Сотбит,"Сотбит публикует модуль ускорения 1С-Битрикс с WebP, LazyLoad и оптимизацией JS/CSS.",S015,high
F019,Сотбит,"Публичный пример показывает более чем двукратный прирост показателя скорости мобильной версии на тестовом магазине.",S015,medium
F020,Webformat,"Сопровождение 1С-Битрикс включает скорость, нагрузку, композит, кеширование и запросы к БД.",S016,high
F021,Webformat,"Опубликован кейс нагрузочного тестирования интернет-магазина автозапчастей.",S017,high
F022,Intensa,"В кейсе Пан Чемодан на 1С-Битрикс оптимизировались кеширование, код и запросы к БД.",S018,high
F023,Intensa,"Текущая Bitrix-услуга предусматривает тестирование под пиковый трафик.",S019,high
F024,ITSumma,"Публичный технический материал описывает аудит производительности 1С-Битрикс и поиск проблем в коде и БД.",S020,high
F025,ITSumma,"Текущая услуга нагрузочного тестирования предусматривает несколько итераций и рекомендации по БД и инфраструктуре.",S021,high
F026,ITSumma,"Кейс Эконика включает 4 итерации нагрузочного тестирования Bitrix-проекта.",S022,high
F027,CDS.guru,"Есть отдельная услуга ускорения 1С-Битрикс с backend/frontend анализом, PHP, MySQL и nginx+php-fpm.",S023,high
F028,CDS.guru,"Публично указаны цены от 40 000 ₽ за анализ и от 80 000 ₽ за ускорение.",S023,high
F029,ALL,"Критерии и веса были публично зафиксированы 23 сентября 2026 года до выпуска IndexResearch.",S025,high
F030,ALL,"Оценки опубликованных 10 участников перенесены без изменения; еще 5 кандидатов оценены по той же frozen-модели.",S025,high
