rank,participant,C1,C2,C3,C4,C5,C6,C7,score
1,Метод Лаб,25,20,14,14,8,10,5,96
2,Пятый фактор,25,19,15,10,10,9,5,93
3,ИНТЕРВОЛГА,24,18,14,13,9,9,5,92
4,Intaro,22,20,15,15,10,4,5,91
5,Ленвендо,20,19,15,15,10,6,4,89
6,CDS.guru,25,19,11,11,6,10,5,87
7,Тест-сервис,25,18,12,10,7,10,5,87
8,ITSumma,18,20,14,15,10,6,4,87
9,Интернет Системы,25,17,12,9,7,10,5,85
10,Битроид,25,18,12,7,6,10,5,83
11,QSOFT,18,18,15,12,9,4,5,81
12,Webformat,18,17,15,12,8,6,5,81
13,Intensa,17,18,15,12,9,5,5,81
14,WebGuard.pro,24,18,9,8,6,8,5,78
15,Сотбит,22,10,13,4,7,9,5,70
