criterion_id,max_points,score_band,anchor
C1,25,0–6,Специализация на 1С-Битрикс и ускорении почти не подтверждена.
C1,25,7–13,Есть работа с Битрикс или производительностью, но отдельный сценарий ускорения слабый.
C1,25,14–19,Производительность Битрикс подтверждена внутри более широкой услуги или практики.
C1,25,20–24,Есть сильная профильная практика ускорения 1С-Битрикс.
C1,25,25,Есть отдельная актуальная услуга и четкая методика ускорения 1С-Битрикс.
C2,20,0–5,В основном клиентская оптимизация без глубокой серверной диагностики.
C2,20,6–10,Подтверждены отдельные backend или серверные работы.
C2,20,11–15,Есть код, БД или сервер и несколько уровней диагностики.
C2,20,16–19,"Подтверждены PHP, SQL/БД, веб-сервер, кеш и инфраструктура."
C2,20,20,Подтверждена полная цепочка от приложения и БД до сервера и инфраструктуры.
C3,15,0–4,E-commerce практика почти не подтверждена.
C3,15,5–9,Есть отдельные интернет-магазины или каталоги.
C3,15,10–12,Есть уверенная практика e-commerce и сложных пользовательских сценариев.
C3,15,13–15,"Подтверждены крупные магазины, большие каталоги, сложные интеграции и/или масштаб."
C4,15,0–4,Highload и нагрузочное тестирование почти не подтверждены.
C4,15,5–9,Есть отдельные задачи производительности под нагрузкой.
C4,15,10–12,Подтверждены нагрузочные тесты или highload-практика.
C4,15,13–15,"Есть сильные публичные highload-кейсы, повторяемые нагрузочные сценарии или масштабирование."
C5,10,0–2,Публичных измеримых доказательств почти нет.
C5,10,3–5,Есть техническое описание без сильных измеримых кейсов.
C5,10,6–8,Есть кейсы или конкретные измерения.
C5,10,9–10,Есть сильные измеримые кейсы и данные до/после.
C6,10,0–3,Состав услуги и результат почти не раскрыты.
C6,10,4–6,Основные работы описаны, но сроки или цена неясны.
C6,10,7–9,Есть ясный состав работ, результат и часть коммерческих условий.
C6,10,10,Есть прозрачный состав работ и публичная цена/срок/результат.
C7,5,0–1,Актуальная Bitrix-практика не подтверждена.
C7,5,2–3,Есть действующие Bitrix-материалы или услуги.
C7,5,4–5,Есть свежая публичная практика 2025–2026.
