source_id,participant,class,title,url,used_for,note
S001,Метод Лаб,manual_capture,Ускорение сайтов и интернет-магазинов на 1С-Битрикс,https://www.methodlab.ru/uskorenie_1c-bitrix,C1;C2;C3;C4;C6;C7,"Публичная страница вручную проверена 24.09.2026 по прямому URL и скриншотам до появления в поисковом индексе."
S002,Метод Лаб,official,Профессиональное ускорение сайтов,https://www.methodlab.ru/price/uskorenie_sajta.shtml,C2;C4;C5;C6,"Профилирование кода, БД, веб-сервер и клиентская часть."
S003,Метод Лаб,official,"Оптимизация MySQL, MariaDB и Percona Server",https://www.methodlab.ru/price/mysql_optimization.shtml,C2;C5;C6,"SQL, индексы, структура и настройки СУБД."
S004,Метод Лаб,official,Нагрузочное тестирование сайтов,https://www.methodlab.ru/support/nagruzochnoe_testirovanie_sajtov,C4;C5;C6,Нагрузочные сценарии и поиск ограничений производительности.
S005,Метод Лаб,official_publication,Ускорение загрузки страниц сайта на 1С-Битрикс,https://www.methodlab.ru/video/bitrix_speedup,C1;C2;C7,Публичный технический материал по производительности Битрикс.
S006,Пятый фактор,official,Ускорение интернет-магазина на 1С-Битрикс,https://5factor.ru/uslugi/bitrix/uskorenie-internet-magazina-na-1s-bitriks/,C1;C2;C3;C4;C5;C6;C7,"Отдельная услуга, кейс IdealBeds, цена и контроль результата."
S007,ИНТЕРВОЛГА,official,Технический аудит сайта,https://www.intervolga.ru/support/tekhnicheskiy-audit-sayta/,C1;C2;C3;C4;C5;C6;C7,"Аудит Битрикс, код, БД, интеграции и нагрузочные проверки."
S008,Intaro,official_case,Stolplit,https://intaro.ru/cases/stolplit,C1;C2;C3;C4;C5;C7,"Крупный e-commerce на Битрикс, компоненты, БД, серверы приложений, memcached, MaxScale и репликация."
S009,Ленвендо,official_case,Нагрузочное тестирование 1С-Битрикс Enterprise 17,https://www.lenvendo.ru/news/get/id/1078,C1;C2;C3;C4;C5;C7,"Крупный стенд, высокая нагрузка и масштаб интернет-магазина."
S010,Тест-сервис,official,Аудит производительности сайта на 1С-Битрикс,https://test-service.ru/audit-proizvoditelnosti-bitrix/,C1;C2;C3;C4;C5;C6;C7,"PHP, MySQL, TTFB, фоновые задачи, цена и срок."
S011,Интернет Системы,official,Ускорение сайта,https://www.inetsys.ru/upgrade/site-speedup/,C1;C2;C3;C4;C5;C6;C7,"Ускорение 1С-Битрикс, кеширование, БД, сервер и открытый прайс."
S012,Битроид,official,Ускорение работы сайта,https://bitroid.ru/services/support/uskorenie-raboty/,C1;C2;C3;C4;C5;C6;C7,"MySQL, Nginx, BitrixVM, Redis/Memcached, cron и Core Web Vitals."
S013,QSOFT,official_case,Эльдорадо,https://qsoft.ru/project/488/,C1;C2;C3;C4;C5;C7,"Крупный e-commerce на 1С-Битрикс и сложные интеграции."
S014,WebGuard.pro,official,Оптимизация Битрикс,https://webguard.pro/optimizacziya-bitriks,C1;C2;C3;C4;C5;C6;C7,"Сервер, SQL, индексы, БД и PHP."
S015,Сотбит,official,Сотбит: Ускорение сайта,https://www.sotbit.ru/solutions/sotbit.speedpage.html,C1;C2;C3;C4;C5;C6;C7,"Модуль ускорения: изображения, WebP, LazyLoad, JS/CSS и публичный пример роста скорости."
S016,Webformat,official,Сопровождение интернет-магазинов на 1С-Битрикс,https://www.webformat.ru/soprovozhdenie-internet-magazina-bitrix/,C1;C2;C3;C4;C6;C7,"Скорость и нагрузка, композит, кеширование, запросы к БД и готовность к пикам."
S017,Webformat,official_publication,Нагрузочное тестирование интернет-магазина автозапчастей,https://www.webformat.ru/blog/nagruzochnoe-testirovanie-internet-magazina-avtozapchastey/,C3;C4;C5;C7,"Нагрузочный тест магазина с отключенным кешем Битрикс и MySQL."
S018,Intensa,official_case,Пан Чемодан: как снизили нагрузку на сервер в 2 раза,https://intensa.ru/projects/pan-chemodan-server-load/,C1;C2;C3;C4;C5;C7,"1С-Битрикс, кеширование, рефакторинг кода и оптимизация запросов."
S019,Intensa,official,Разработка интернет-магазина на 1С-Битрикс,https://intensa.ru/services/bitrix/,C1;C3;C4;C6;C7,"Текущая Bitrix-практика и тестирование под пиковый трафик."
